"","Kabupaten_Kota","tahun","IPM","PDRB_ADHK"
"1","Kabupaten Cilacap",2021,70.42,46.82
"2","Kabupaten Cilacap",2020,69.95,46.43
"3","Kabupaten Cilacap",2019,69.98,58.37
"4","Kabupaten Cilacap",2018,69.56,57.05
"5","Kabupaten Cilacap",2017,68.9,55.65
"6","Kabupaten Cilacap",2016,68.6,54.51
"7","Kabupaten Cilacap",2015,67.77,52.14
"8","Kabupaten Cilacap",2014,67.25,49.47
"9","Kabupaten Cilacap",2013,66.8,48.34
"10","Kabupaten Cilacap",2012,65.72,47.83
"11","Kabupaten Cilacap",2011,64.73,47.21
"12","Kabupaten Cilacap",2010,64.18,45.65
"13","Kabupaten Banyumas",2021,72.44,22.73
"14","Kabupaten Banyumas",2020,71.98,22.07
"15","Kabupaten Banyumas",2019,71.96,23.61
"16","Kabupaten Banyumas",2018,71.3,22.28
"17","Kabupaten Banyumas",2017,70.75,21.11
"18","Kabupaten Banyumas",2016,70.49,20.02
"19","Kabupaten Banyumas",2015,69.89,19.05
"20","Kabupaten Banyumas",2014,69.25,18.12
"21","Kabupaten Banyumas",2013,68.55,17.31
"22","Kabupaten Banyumas",2012,68.06,16.34
"23","Kabupaten Banyumas",2011,67.45,15.59
"24","Kabupaten Banyumas",2010,66.87,14.78
"25","Kabupaten Purbalingga",2021,69.15,17.59
"26","Kabupaten Purbalingga",2020,68.97,17.26
"27","Kabupaten Purbalingga",2019,68.99,18.71
"28","Kabupaten Purbalingga",2018,68.41,17.79
"29","Kabupaten Purbalingga",2017,67.72,17.04
"30","Kabupaten Purbalingga",2016,67.48,16.33
"31","Kabupaten Purbalingga",2015,67.03,15.73
"32","Kabupaten Purbalingga",2014,66.23,15.07
"33","Kabupaten Purbalingga",2013,65.53,14.52
"34","Kabupaten Purbalingga",2012,64.94,13.95
"35","Kabupaten Purbalingga",2011,64.33,13.33
"36","Kabupaten Purbalingga",2010,63.61,12.76
"37","Kabupaten Banjarnegara",2021,67.86,15.13
"38","Kabupaten Banjarnegara",2020,67.45,14.83
"39","Kabupaten Banjarnegara",2019,67.34,16.6
"40","Kabupaten Banjarnegara",2018,66.54,15.72
"41","Kabupaten Banjarnegara",2017,65.86,14.97
"42","Kabupaten Banjarnegara",2016,65.52,14.25
"43","Kabupaten Banjarnegara",2015,64.73,13.6
"44","Kabupaten Banjarnegara",2014,63.15,12.98
"45","Kabupaten Banjarnegara",2013,62.84,12.41
"46","Kabupaten Banjarnegara",2012,62.29,11.85
"47","Kabupaten Banjarnegara",2011,61.58,11.35
"48","Kabupaten Banjarnegara",2010,60.7,10.84
"49","Kabupaten Kebumen",2021,70.05,14.87
"50","Kabupaten Kebumen",2020,69.81,14.5
"51","Kabupaten Kebumen",2019,69.6,16.62
"52","Kabupaten Kebumen",2018,68.8,15.71
"53","Kabupaten Kebumen",2017,68.29,14.93
"54","Kabupaten Kebumen",2016,67.41,14.24
"55","Kabupaten Kebumen",2015,66.87,13.6
"56","Kabupaten Kebumen",2014,65.67,12.84
"57","Kabupaten Kebumen",2013,64.86,12.18
"58","Kabupaten Kebumen",2012,64.47,11.7
"59","Kabupaten Kebumen",2011,64.05,11.2
"60","Kabupaten Kebumen",2010,63.08,10.6
"61","Kabupaten Purworejo",2021,72.98,17.56
"62","Kabupaten Purworejo",2020,72.68,17.09
"63","Kabupaten Purworejo",2019,72.5,18.68
"64","Kabupaten Purworejo",2018,71.87,17.68
"65","Kabupaten Purworejo",2017,71.31,16.83
"66","Kabupaten Purworejo",2016,70.66,16.03
"67","Kabupaten Purworejo",2015,70.37,15.29
"68","Kabupaten Purworejo",2014,70.12,14.57
"69","Kabupaten Purworejo",2013,69.77,13.99
"70","Kabupaten Purworejo",2012,69.4,13.39
"71","Kabupaten Purworejo",2011,69.11,12.85
"72","Kabupaten Purworejo",2010,68.16,12.22
"73","Kabupaten Wonosobo",2021,68.43,15.86
"74","Kabupaten Wonosobo",2020,68.22,15.47
"75","Kabupaten Wonosobo",2019,68.27,17.53
"76","Kabupaten Wonosobo",2018,67.81,16.59
"77","Kabupaten Wonosobo",2017,66.89,15.86
"78","Kabupaten Wonosobo",2016,66.19,15.29
"79","Kabupaten Wonosobo",2015,65.7,14.58
"80","Kabupaten Wonosobo",2014,65.2,14
"81","Kabupaten Wonosobo",2013,64.57,13.43
"82","Kabupaten Wonosobo",2012,64.18,12.99
"83","Kabupaten Wonosobo",2011,63.07,12.47
"84","Kabupaten Wonosobo",2010,62.5,11.91
"85","Kabupaten Magelang",2021,70.12,18.12
"86","Kabupaten Magelang",2020,69.87,17.61
"87","Kabupaten Magelang",2019,69.87,18.1
"88","Kabupaten Magelang",2018,69.11,17.26
"89","Kabupaten Magelang",2017,68.39,16.54
"90","Kabupaten Magelang",2016,67.85,15.82
"91","Kabupaten Magelang",2015,67.13,15.15
"92","Kabupaten Magelang",2014,66.35,14.54
"93","Kabupaten Magelang",2013,65.86,13.93
"94","Kabupaten Magelang",2012,64.75,13.29
"95","Kabupaten Magelang",2011,64.16,12.8
"96","Kabupaten Magelang",2010,63.28,12.13
"97","Kabupaten Boyolali",2021,74.4,21.91
"98","Kabupaten Boyolali",2020,74.25,21.13
"99","Kabupaten Boyolali",2019,73.8,23.14
"100","Kabupaten Boyolali",2018,73.22,21.85
"101","Kabupaten Boyolali",2017,72.64,20.78
"102","Kabupaten Boyolali",2016,72.18,19.75
"103","Kabupaten Boyolali",2015,71.74,18.86
"104","Kabupaten Boyolali",2014,70.34,17.9
"105","Kabupaten Boyolali",2013,69.81,17.09
"106","Kabupaten Boyolali",2012,69.51,16.26
"107","Kabupaten Boyolali",2011,69.14,15.54
"108","Kabupaten Boyolali",2010,68.76,14.72
"109","Kabupaten Klaten",2021,76.12,22.51
"110","Kabupaten Klaten",2020,75.56,21.84
"111","Kabupaten Klaten",2019,75.29,23.78
"112","Kabupaten Klaten",2018,74.79,22.5
"113","Kabupaten Klaten",2017,74.25,21.41
"114","Kabupaten Klaten",2016,73.97,20.4
"115","Kabupaten Klaten",2015,73.81,19.47
"116","Kabupaten Klaten",2014,73.19,18.56
"117","Kabupaten Klaten",2013,72.42,17.62
"118","Kabupaten Klaten",2012,71.71,16.7
"119","Kabupaten Klaten",2011,71.16,15.88
"120","Kabupaten Klaten",2010,70.76,15.02
"121","Kabupaten Sukoharjo",2021,77.13,30.31
"122","Kabupaten Sukoharjo",2020,76.98,29.37
"123","Kabupaten Sukoharjo",2019,76.84,30.51
"124","Kabupaten Sukoharjo",2018,76.07,28.88
"125","Kabupaten Sukoharjo",2017,75.56,27.51
"126","Kabupaten Sukoharjo",2016,75.06,26.22
"127","Kabupaten Sukoharjo",2015,74.53,25.01
"128","Kabupaten Sukoharjo",2014,73.76,23.87
"129","Kabupaten Sukoharjo",2013,73.22,22.84
"130","Kabupaten Sukoharjo",2012,72.81,21.79
"131","Kabupaten Sukoharjo",2011,72.34,20.77
"132","Kabupaten Sukoharjo",2010,71.53,19.81
"133","Kabupaten Wonogiri",2021,70.49,20.25
"134","Kabupaten Wonogiri",2020,70.25,19.75
"135","Kabupaten Wonogiri",2019,69.98,21.85
"136","Kabupaten Wonogiri",2018,69.37,20.73
"137","Kabupaten Wonogiri",2017,68.66,19.71
"138","Kabupaten Wonogiri",2016,68.23,18.77
"139","Kabupaten Wonogiri",2015,67.76,17.89
"140","Kabupaten Wonogiri",2014,66.77,17.03
"141","Kabupaten Wonogiri",2013,66.4,16.24
"142","Kabupaten Wonogiri",2012,65.75,15.56
"143","Kabupaten Wonogiri",2011,64.75,14.75
"144","Kabupaten Wonogiri",2010,63.9,14.3
"145","Kabupaten Karanganyar",2021,75.99,28.8
"146","Kabupaten Karanganyar",2020,75.86,28.07
"147","Kabupaten Karanganyar",2019,75.89,30.14
"148","Kabupaten Karanganyar",2018,75.54,28.61
"149","Kabupaten Karanganyar",2017,75.22,27.23
"150","Kabupaten Karanganyar",2016,74.9,25.97
"151","Kabupaten Karanganyar",2015,74.26,24.86
"152","Kabupaten Karanganyar",2014,73.89,23.89
"153","Kabupaten Karanganyar",2013,73.33,22.92
"154","Kabupaten Karanganyar",2012,72.26,21.9
"155","Kabupaten Karanganyar",2011,71,20.89
"156","Kabupaten Karanganyar",2010,70.31,20.12
"157","Kabupaten Sragen",2021,74.08,27.81
"158","Kabupaten Sragen",2020,73.95,27.05
"159","Kabupaten Sragen",2019,73.43,30.3
"160","Kabupaten Sragen",2018,72.96,28.56
"161","Kabupaten Sragen",2017,72.4,27.09
"162","Kabupaten Sragen",2016,71.43,25.65
"163","Kabupaten Sragen",2015,71.1,24.33
"164","Kabupaten Sragen",2014,70.52,23.04
"165","Kabupaten Sragen",2013,69.95,21.91
"166","Kabupaten Sragen",2012,68.91,20.62
"167","Kabupaten Sragen",2011,68.12,19.53
"168","Kabupaten Sragen",2010,67.67,18.41
"169","Kabupaten Grobogan",2021,70.41,13.77
"170","Kabupaten Grobogan",2020,69.87,13.36
"171","Kabupaten Grobogan",2019,69.86,14.36
"172","Kabupaten Grobogan",2018,69.32,13.63
"173","Kabupaten Grobogan",2017,68.87,12.94
"174","Kabupaten Grobogan",2016,68.52,12.28
"175","Kabupaten Grobogan",2015,68.05,11.81
"176","Kabupaten Grobogan",2014,67.77,11.21
"177","Kabupaten Grobogan",2013,67.43,10.83
"178","Kabupaten Grobogan",2012,66.39,10.42
"179","Kabupaten Grobogan",2011,65.41,9.98
"180","Kabupaten Grobogan",2010,64.56,9.74
"181","Kabupaten Blora",2021,69.37,20.46
"182","Kabupaten Blora",2020,68.84,19.78
"183","Kabupaten Blora",2019,68.65,21.28
"184","Kabupaten Blora",2018,67.95,20.42
"185","Kabupaten Blora",2017,67.52,19.64
"186","Kabupaten Blora",2016,66.61,18.6
"187","Kabupaten Blora",2015,66.22,15.12
"188","Kabupaten Blora",2014,65.84,14.41
"189","Kabupaten Blora",2013,65.37,13.87
"190","Kabupaten Blora",2012,64.7,13.23
"191","Kabupaten Blora",2011,63.88,12.68
"192","Kabupaten Blora",2010,63.02,12.21
"193","Kabupaten Rembang",2021,70.43,21.5
"194","Kabupaten Rembang",2020,70.02,20.8
"195","Kabupaten Rembang",2019,70.15,21.43
"196","Kabupaten Rembang",2018,69.46,20.42
"197","Kabupaten Rembang",2017,68.95,19.43
"198","Kabupaten Rembang",2016,68.6,18.3
"199","Kabupaten Rembang",2015,68.18,17.52
"200","Kabupaten Rembang",2014,67.4,16.75
"201","Kabupaten Rembang",2013,66.84,16.06
"202","Kabupaten Rembang",2012,66.03,15.37
"203","Kabupaten Rembang",2011,65.36,14.73
"204","Kabupaten Rembang",2010,64.53,14.13
"205","Kabupaten Pati",2021,72.28,23.71
"206","Kabupaten Pati",2020,71.77,23.09
"207","Kabupaten Pati",2019,71.35,24.64
"208","Kabupaten Pati",2018,70.71,23.29
"209","Kabupaten Pati",2017,70.12,22.15
"210","Kabupaten Pati",2016,69.03,21.07
"211","Kabupaten Pati",2015,68.51,20.09
"212","Kabupaten Pati",2014,66.99,19.06
"213","Kabupaten Pati",2013,66.47,18.33
"214","Kabupaten Pati",2012,66.13,17.42
"215","Kabupaten Pati",2011,65.71,16.55
"216","Kabupaten Pati",2010,65.13,15.74
"217","Kabupaten Kudus",2021,75.16,81.6
"218","Kabupaten Kudus",2020,75,83.66
"219","Kabupaten Kudus",2019,74.94,84.46
"220","Kabupaten Kudus",2018,74.58,82.48
"221","Kabupaten Kudus",2017,73.84,80.83
"222","Kabupaten Kudus",2016,72.94,79.24
"223","Kabupaten Kudus",2015,72.72,78.23
"224","Kabupaten Kudus",2014,72,76.24
"225","Kabupaten Kudus",2013,71.58,73.92
"226","Kabupaten Kudus",2012,70.57,71.76
"227","Kabupaten Kudus",2011,69.89,69.85
"228","Kabupaten Kudus",2010,69.22,67.94
"229","Kabupaten Jepara",2021,72.36,18.46
"230","Kabupaten Jepara",2020,71.99,17.71
"231","Kabupaten Jepara",2019,71.88,17.08
"232","Kabupaten Jepara",2018,71.38,16.26
"233","Kabupaten Jepara",2017,70.79,15.58
"234","Kabupaten Jepara",2016,70.25,14.99
"235","Kabupaten Jepara",2015,70.02,14.48
"236","Kabupaten Jepara",2014,69.61,13.99
"237","Kabupaten Jepara",2013,69.11,13.55
"238","Kabupaten Jepara",2012,68.45,13.05
"239","Kabupaten Jepara",2011,67.63,12.53
"240","Kabupaten Jepara",2010,66.76,12.14
"241","Kabupaten Demak",2021,72.57,15.55
"242","Kabupaten Demak",2020,72.22,15.3
"243","Kabupaten Demak",2019,71.87,15.91
"244","Kabupaten Demak",2018,71.26,15.18
"245","Kabupaten Demak",2017,70.41,14.54
"246","Kabupaten Demak",2016,70.1,13.88
"247","Kabupaten Demak",2015,69.75,13.34
"248","Kabupaten Demak",2014,68.95,12.73
"249","Kabupaten Demak",2013,68.38,12.33
"250","Kabupaten Demak",2012,67.55,11.85
"251","Kabupaten Demak",2011,66.84,11.47
"252","Kabupaten Demak",2010,66.02,11.01
"253","Kabupaten Semarang",2021,74.24,33.92
"254","Kabupaten Semarang",2020,74.1,33
"255","Kabupaten Semarang",2019,74.14,33.97
"256","Kabupaten Semarang",2018,73.61,32.5
"257","Kabupaten Semarang",2017,73.2,31.15
"258","Kabupaten Semarang",2016,72.4,29.87
"259","Kabupaten Semarang",2015,71.89,28.74
"260","Kabupaten Semarang",2014,71.65,27.61
"261","Kabupaten Semarang",2013,71.29,26.44
"262","Kabupaten Semarang",2012,70.88,25.31
"263","Kabupaten Semarang",2011,70.35,24.21
"264","Kabupaten Semarang",2010,69.58,23.13
"265","Kabupaten Temanggung",2021,69.88,19.37
"266","Kabupaten Temanggung",2020,69.57,18.88
"267","Kabupaten Temanggung",2019,69.56,19.8
"268","Kabupaten Temanggung",2018,68.83,18.92
"269","Kabupaten Temanggung",2017,68.34,18.15
"270","Kabupaten Temanggung",2016,67.6,17.43
"271","Kabupaten Temanggung",2015,67.07,16.75
"272","Kabupaten Temanggung",2014,65.97,16.06
"273","Kabupaten Temanggung",2013,65.52,15.44
"274","Kabupaten Temanggung",2012,64.91,14.82
"275","Kabupaten Temanggung",2011,64.14,14.36
"276","Kabupaten Temanggung",2010,63.08,13.68
"277","Kabupaten Kendal",2021,72.5,30.86
"278","Kabupaten Kendal",2020,72.29,29.96
"279","Kabupaten Kendal",2019,71.97,31.99
"280","Kabupaten Kendal",2018,71.28,30.33
"281","Kabupaten Kendal",2017,70.62,28.89
"282","Kabupaten Kendal",2016,70.11,27.52
"283","Kabupaten Kendal",2015,69.57,26.28
"284","Kabupaten Kendal",2014,68.46,25.18
"285","Kabupaten Kendal",2013,67.98,24.15
"286","Kabupaten Kendal",2012,67.55,22.94
"287","Kabupaten Kendal",2011,66.96,22
"288","Kabupaten Kendal",2010,66.23,20.84
"289","Kabupaten Batang",2021,68.92,19.53
"290","Kabupaten Batang",2020,68.65,18.79
"291","Kabupaten Batang",2019,68.42,19.91
"292","Kabupaten Batang",2018,67.86,18.95
"293","Kabupaten Batang",2017,67.35,18.08
"294","Kabupaten Batang",2016,66.38,17.27
"295","Kabupaten Batang",2015,65.46,16.59
"296","Kabupaten Batang",2014,64.07,15.88
"297","Kabupaten Batang",2013,63.6,15.22
"298","Kabupaten Batang",2012,63.09,14.51
"299","Kabupaten Batang",2011,62.59,14.01
"300","Kabupaten Batang",2010,61.64,13.34
"301","Kabupaten Pekalongan",2021,70.11,17.01
"302","Kabupaten Pekalongan",2020,69.63,16.61
"303","Kabupaten Pekalongan",2019,69.71,18.31
"304","Kabupaten Pekalongan",2018,68.97,17.41
"305","Kabupaten Pekalongan",2017,68.4,16.56
"306","Kabupaten Pekalongan",2016,67.71,15.82
"307","Kabupaten Pekalongan",2015,67.4,15.14
"308","Kabupaten Pekalongan",2014,66.98,14.56
"309","Kabupaten Pekalongan",2013,66.26,13.98
"310","Kabupaten Pekalongan",2012,65.33,13.29
"311","Kabupaten Pekalongan",2011,64.72,12.79
"312","Kabupaten Pekalongan",2010,63.75,12.2
"313","Kabupaten Pemalang",2021,66.56,12.75
"314","Kabupaten Pemalang",2020,66.32,12.37
"315","Kabupaten Pemalang",2019,66.32,14.09
"316","Kabupaten Pemalang",2018,65.67,13.28
"317","Kabupaten Pemalang",2017,65.04,12.6
"318","Kabupaten Pemalang",2016,64.17,11.97
"319","Kabupaten Pemalang",2015,63.7,11.39
"320","Kabupaten Pemalang",2014,62.35,10.82
"321","Kabupaten Pemalang",2013,61.81,10.29
"322","Kabupaten Pemalang",2012,60.78,9.79
"323","Kabupaten Pemalang",2011,59.66,9.33
"324","Kabupaten Pemalang",2010,58.64,8.93
"325","Kabupaten Tegal",2021,68.79,15.79
"326","Kabupaten Tegal",2020,68.39,15.37
"327","Kabupaten Tegal",2019,68.24,17.34
"328","Kabupaten Tegal",2018,67.33,16.39
"329","Kabupaten Tegal",2017,66.44,15.57
"330","Kabupaten Tegal",2016,65.84,14.82
"331","Kabupaten Tegal",2015,65.04,14.04
"332","Kabupaten Tegal",2014,64.1,13.35
"333","Kabupaten Tegal",2013,63.5,12.76
"334","Kabupaten Tegal",2012,62.67,12
"335","Kabupaten Tegal",2011,61.97,11.45
"336","Kabupaten Tegal",2010,61.14,10.81
"337","Kabupaten Brebes",2021,66.32,16.79
"338","Kabupaten Brebes",2020,66.11,16.56
"339","Kabupaten Brebes",2019,66.12,18.25
"340","Kabupaten Brebes",2018,65.68,17.23
"341","Kabupaten Brebes",2017,64.86,16.43
"342","Kabupaten Brebes",2016,63.98,15.61
"343","Kabupaten Brebes",2015,63.18,14.92
"344","Kabupaten Brebes",2014,62.55,14.14
"345","Kabupaten Brebes",2013,61.87,13.49
"346","Kabupaten Brebes",2012,60.92,12.8
"347","Kabupaten Brebes",2011,60.51,12.31
"348","Kabupaten Brebes",2010,59.49,11.61
"349","Kota Magelang",2021,79.43,53.56
"350","Kota Magelang",2020,78.99,51.94
"351","Kota Magelang",2019,78.8,53.23
"352","Kota Magelang",2018,78.31,50.37
"353","Kota Magelang",2017,77.84,47.92
"354","Kota Magelang",2016,77.16,45.59
"355","Kota Magelang",2015,76.39,43.44
"356","Kota Magelang",2014,75.79,41.45
"357","Kota Magelang",2013,75.29,39.67
"358","Kota Magelang",2012,75,37.55
"359","Kota Magelang",2011,74.47,35.76
"360","Kota Magelang",2010,73.99,33.87
"361","Kota Surakarta",2021,82.62,69.27
"362","Kota Surakarta",2020,82.21,66.65
"363","Kota Surakarta",2019,81.86,68.55
"364","Kota Surakarta",2018,81.46,64.7
"365","Kota Surakarta",2017,80.85,61.39
"366","Kota Surakarta",2016,80.76,58.3
"367","Kota Surakarta",2015,80.14,55.55
"368","Kota Surakarta",2014,79.34,52.9
"369","Kota Surakarta",2013,78.89,50.48
"370","Kota Surakarta",2012,78.44,47.73
"371","Kota Surakarta",2011,78,45.44
"372","Kota Surakarta",2010,77.45,42.92
"373","Kota Salatiga",2021,83.6,50.74
"374","Kota Salatiga",2020,83.14,49.51
"375","Kota Salatiga",2019,83.12,50.03
"376","Kota Salatiga",2018,82.41,47.65
"377","Kota Salatiga",2017,81.68,45.65
"378","Kota Salatiga",2016,81.14,43.82
"379","Kota Salatiga",2015,80.96,42.21
"380","Kota Salatiga",2014,79.98,40.69
"381","Kota Salatiga",2013,79.37,39.11
"382","Kota Salatiga",2012,79.1,37.36
"383","Kota Salatiga",2011,78.76,35.93
"384","Kota Salatiga",2010,78.35,34.25
"385","Kota Semarang",2021,83.55,87.36
"386","Kota Semarang",2020,83.05,83.26
"387","Kota Semarang",2019,83.19,77.62
"388","Kota Semarang",2018,82.72,73.49
"389","Kota Semarang",2017,82.01,70.14
"390","Kota Semarang",2016,81.19,66.82
"391","Kota Semarang",2015,80.23,64.14
"392","Kota Semarang",2014,79.24,61.63
"393","Kota Semarang",2013,78.68,58.98
"394","Kota Semarang",2012,78.04,56.47
"395","Kota Semarang",2011,77.58,54.23
"396","Kota Semarang",2010,76.96,51.81
"397","Kota Pekalongan",2021,75.4,24.66
"398","Kota Pekalongan",2020,74.98,23.92
"399","Kota Pekalongan",2019,74.77,24.48
"400","Kota Pekalongan",2018,74.24,23.28
"401","Kota Pekalongan",2017,73.77,22.22
"402","Kota Pekalongan",2016,73.32,21.28
"403","Kota Pekalongan",2015,72.69,20.39
"404","Kota Pekalongan",2014,71.53,19.59
"405","Kota Pekalongan",2013,70.82,18.76
"406","Kota Pekalongan",2012,69.95,17.89
"407","Kota Pekalongan",2011,69.54,17.12
"408","Kota Pekalongan",2010,68.95,16.4
"409","Kota Tegal",2021,75.52,40.94
"410","Kota Tegal",2020,75.07,40.08
"411","Kota Tegal",2019,74.93,45.07
"412","Kota Tegal",2018,74.44,42.55
"413","Kota Tegal",2017,73.95,40.34
"414","Kota Tegal",2016,73.55,38.21
"415","Kota Tegal",2015,72.96,36.38
"416","Kota Tegal",2014,72.2,34.66
"417","Kota Tegal",2013,71.44,33.15
"418","Kota Tegal",2012,70.68,31.52
"419","Kota Tegal",2011,70.03,30.42
"420","Kota Tegal",2010,69.33,28.73
